Fri Apr 23 16:10:32 2021    output.dat

         899508 function calls (875517 primitive calls) in 1.082 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  508/411    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\contextlib.py:117(__exit__)
       11    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\analysis.py:190(compute_live_variables)
      294    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\types\functions.py:80(add_error)
      575    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      529    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1470(is_extension_array_dtype)
      168    0.000    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:119(__init__)
       27    0.000    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\analysis.py:235(compute_cfg_from_blocks)
      216    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\extending.py:59(overload)
 2088/695    0.000    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\abc.py:100(__subclasscheck__)
       18    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\np\numpy_support.py:354(ufunc_find_matching_loop)
      745    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\utils.py:305(stream_list)
     1650    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\controlflow.py:116(successors)
      321    0.000    0.000    0.005    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\templates.py:343(apply)
      494    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\cell\read_only.py:64(number_format)
     1296    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\event.py:122(is_start)
      546    0.000    0.000    0.006    0.000 C:\Users\DALab\anaconda3\lib\abc.py:84(__new__)
     1114    0.000    0.000    0.008    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\ir.py:346(list_vars)
       26    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      616    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\__init__.py:2810(__getattr__)
     2856    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\types\abstract.py:95(key)
      281    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      716    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\context.py:491(insert_function)
      292    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      531    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\dtypes\base.py:411(find)
      294    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      158    0.000    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\templates.py:988(do_class_init)
      544    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:376(cached)
      359    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     4420    0.000    0.000    0.000    0.000 {method 'end' of 'xml.etree.ElementTree.TreeBuilder' objects}
      119    0.000    0.000    0.007    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\runtime\context.py:197(_call_incref_decref)
      462    0.000    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\series.py:944(_get_value)
      289    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\types.py:77(__call__)
       69    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\instructions.py:113(_descr)
      292    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     4587    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      570    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1610(_is_dtype_type)
      390    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\controlflow.py:366(_add_edge)
